Epoch 0 complete. Used 80 seconds, hr_10: 0.100097, hr_20: 0.198684
hr_k: 0.009269 0.019557 0.029526 0.039315 0.049424 0.059462 0.069511 0.079900 0.089998 0.100097 0.109866 0.120044 0.129813 0.140102 0.149941 0.159509 0.169298 0.178987 0.189095 0.198684 
ndcg_k: 0.009269 0.015760 0.020745 0.024960 0.028871 0.032447 0.035796 0.039074 0.042114 0.045033 0.047758 0.050508 0.053074 0.055708 0.058167 0.060508 0.062856 0.065137 0.067475 0.069659 
[epoch0-batch0] complete, score_loss: 482.91327 
[epoch0-batch300] complete, score_loss: 354.89136 
[epoch0-batch600] complete, score_loss: 354.89136 
[epoch0-batch900] complete, score_loss: 354.89136 
[epoch0-batch1200] complete, score_loss: 354.8914 
[epoch0-batch1500] complete, score_loss: 354.906 
[epoch0-batch1800] complete, score_loss: 354.90378 
[epoch0-batch2100] complete, score_loss: 354.90298 
[epoch0-batch2400] complete, score_loss: 354.9106 
[epoch0-batch2700] complete, score_loss: 354.91467 
[epoch0-batch3000] complete, score_loss: 354.92752 
[epoch0-batch3300] complete, score_loss: 354.92758 
[epoch0-batch3600] complete, score_loss: 354.9303 
[epoch0-batch3900] complete, score_loss: 354.92877 
[epoch0-batch4200] complete, score_loss: 354.9319 
[epoch0-batch4500] complete, score_loss: 354.93054 
[epoch0-batch4800] complete, score_loss: 354.92905 
[epoch0-batch5100] complete, score_loss: 354.92822 
[epoch0-batch5400] complete, score_loss: 354.9285 
[epoch0-batch5700] complete, score_loss: 354.92642 
[epoch0-batch6000] complete, score_loss: 354.9259 
[epoch0-batch6300] complete, score_loss: 354.92416 
[epoch0-batch6600] complete, score_loss: 354.9228 
[epoch0-batch6900] complete, score_loss: 354.92273 
[epoch0-batch7200] complete, score_loss: 354.9223 
[epoch0-batch7500] complete, score_loss: 354.92166 
[epoch0-batch7800] complete, score_loss: 354.92163 
[epoch0-batch8100] complete, score_loss: 354.92126 
[epoch0-batch8400] complete, score_loss: 354.9212 
[epoch0-batch8700] complete, score_loss: 354.92053 
[epoch0-batch9000] complete, score_loss: 354.92078 
[epoch0-batch9300] complete, score_loss: 354.92044 
[epoch0-batch9600] complete, score_loss: 354.92047 
[epoch0-batch9900] complete, score_loss: 354.92035 
[epoch0-batch10200] complete, score_loss: 354.91995 
[epoch0-batch10500] complete, score_loss: 354.9202 
[epoch0-batch10800] complete, score_loss: 354.91974 
[epoch0-batch11100] complete, score_loss: 354.91968 
[epoch0-batch11400] complete, score_loss: 354.9197 
[epoch0-batch11700] complete, score_loss: 354.9195 
[epoch0-batch12000] complete, score_loss: 354.91956 
[epoch0-batch12300] complete, score_loss: 354.9196 
[epoch0-batch12600] complete, score_loss: 354.9194 
[epoch0-batch12900] complete, score_loss: 354.9194 
[epoch0-batch13200] complete, score_loss: 354.91934 
[epoch0-batch13500] complete, score_loss: 354.91937 
[epoch0-batch13800] complete, score_loss: 354.9193 
